"Nombre","Lat","Lon","var","estacion","mes","pend_decada","p_valor"
"VILLA INDUSTRIAL (TACORA)","-17,771944439999999","-69,724166670000002","pp","X01200002.2","12",-14.3159065628476,0.410280471790627
"VILLA INDUSTRIAL (TACORA)","-17,771944439999999","-69,724166670000002","pp","X01200002.2","Anual",-75.0423804226919,0.0935313529663601
"HUMAPALCA","-17,835277779999998","-69,703888890000002","pp","X01200003.0","1",-0.240711902113461,0.604826527141747
"HUMAPALCA","-17,835277779999998","-69,703888890000002","pp","X01200003.0","2",7.26829810901002,0.309105549761104
"HUMAPALCA","-17,835277779999998","-69,703888890000002","pp","X01200003.0","3",0.548387096774194,1
"HUMAPALCA","-17,835277779999998","-69,703888890000002","pp","X01200003.0","4",0.638709677419356,0.863207301539467
"HUMAPALCA","-17,835277779999998","-69,703888890000002","pp","X01200003.0","5",0.0978865406006675,1
"HUMAPALCA","-17,835277779999998","-69,703888890000002","pp","X01200003.0","6",-0.457174638487208,0.438869801743494
"HUMAPALCA","-17,835277779999998","-69,703888890000002","pp","X01200003.0","7",0.411568409343715,0.181042624964743
"HUMAPALCA","-17,835277779999998","-69,703888890000002","pp","X01200003.0","8",-2.43381535038932,0.115768555601862
"HUMAPALCA","-17,835277779999998","-69,703888890000002","pp","X01200003.0","9",-0.685205784204672,0.868251982129357
"HUMAPALCA","-17,835277779999998","-69,703888890000002","pp","X01200003.0","10",0.311457174638487,0.735781399349573
"HUMAPALCA","-17,835277779999998","-69,703888890000002","pp","X01200003.0","11",-0.793103448275863,0.603944706749363
"HUMAPALCA","-17,835277779999998","-69,703888890000002","pp","X01200003.0","12",-0.120800889877643,0.914544342279488
"HUMAPALCA","-17,835277779999998","-69,703888890000002","pp","X01200003.0","Anual",4.54549499443829,0.748105391427001
"ALCERRECA","-17,990555560000001","-69,660555560000006","pp","X01201010.9","1",-19.8208008898776,0.0268981725616862
"ALCERRECA","-17,990555560000001","-69,660555560000006","pp","X01201010.9","2",-1.80734149054504,1
"ALCERRECA","-17,990555560000001","-69,660555560000006","pp","X01201010.9","3",-15.3659621802002,0.0235809707155128
"ALCERRECA","-17,990555560000001","-69,660555560000006","pp","X01201010.9","4",-0.82602892102336,0.503126814489857
"ALCERRECA","-17,990555560000001","-69,660555560000006","pp","X01201010.9","5",0.0347052280311458,0.865500214545505
"ALCERRECA","-17,990555560000001","-69,660555560000006","pp","X01201010.9","6",-0.67119021134594,0.268786416341542
"ALCERRECA","-17,990555560000001","-69,660555560000006","pp","X01201010.9","7",0.00600667408231375,0.138352867763895
"ALCERRECA","-17,990555560000001","-69,660555560000006","pp","X01201010.9","8",-4.24538375973304,0.746976524585991
"ALCERRECA","-17,990555560000001","-69,660555560000006","pp","X01201010.9","9",-0.410901001112347,0.803199844041659
"ALCERRECA","-17,990555560000001","-69,660555560000006","pp","X01201010.9","10",0.4440489432703,0.049570117816228
"ALCERRECA","-17,990555560000001","-69,660555560000006","pp","X01201010.9","11",-0.961957730812013,0.286891123834982
"ALCERRECA","-17,990555560000001","-69,660555560000006","pp","X01201010.9","12",-4.79822024471635,0.0253743099372405
"ALCERRECA","-17,990555560000001","-69,660555560000006","pp","X01201010.9","Anual",-48.4230255839822,0.00480564968336368
"CENTRAL CHAPIQUIÑA","-18,371944440000000","-69,547777780000004","pp","X01300006.9","1",-3.29999999999999,0.617392769071009
"CENTRAL CHAPIQUIÑA","-18,371944440000000","-69,547777780000004","pp","X01300006.9","2",6.79944382647386,0.275721479723069
"CENTRAL CHAPIQUIÑA","-18,371944440000000","-69,547777780000004","pp","X01300006.9","3",-6.61001112347052,0.547954447594017
"CENTRAL CHAPIQUIÑA","-18,371944440000000","-69,547777780000004","pp","X01300006.9","4",0.940823136818687,0.0155601468248361
"CENTRAL CHAPIQUIÑA","-18,371944440000000","-69,547777780000004","pp","X01300006.9","5",0.0838709677419355,0.212749597859289
"CENTRAL CHAPIQUIÑA","-18,371944440000000","-69,547777780000004","pp","X01300006.9","6",0.404004449388209,0.293456794140027
"CENTRAL CHAPIQUIÑA","-18,371944440000000","-69,547777780000004","pp","X01300006.9","7",0.869855394883204,0.37063863170412
"CENTRAL CHAPIQUIÑA","-18,371944440000000","-69,547777780000004","pp","X01300006.9","8",-1.69766407119021,0.719201388514063
"CENTRAL CHAPIQUIÑA","-18,371944440000000","-69,547777780000004","pp","X01300006.9","9",-0.417575083426029,0.868047793186305
"CENTRAL CHAPIQUIÑA","-18,371944440000000","-69,547777780000004","pp","X01300006.9","10",-0.0193548387096774,0.240657771888626
"CENTRAL CHAPIQUIÑA","-18,371944440000000","-69,547777780000004","pp","X01300006.9","11",0.772413793103449,0.0173228823507707
"CENTRAL CHAPIQUIÑA","-18,371944440000000","-69,547777780000004","pp","X01300006.9","12",-0.613014460511685,0.82969020974559
"CENTRAL CHAPIQUIÑA","-18,371944440000000","-69,547777780000004","pp","X01300006.9","Anual",-2.78720800889877,0.642743176068421
"BELEN","-18,467777779999999","-69,516944440000003","pp","X01300007.7","1",-21.5451835372636,0.0476283277087324
