"","Nombre","Lat","Lon","est","indicador","unidad","periodo","pendiente","p_valor"
"144","DIGUILLIN",-36.87055556,-71.6425,"X08130006.2","MaxTmax","�C_decada","Primavera",-0.252391546162402,0.484577558479513
"145","DIGUILLIN",-36.87055556,-71.6425,"X08130006.2","MaxTmax","�C_decada","Verano",0.746305418719211,0.155783617551842
"146","LIUCURA",-38.645,-71.09111111,"X08301001.0","MaxTmax","�C_decada","Anual",-1.43692992213571,0.118431446556298
"147","LIUCURA",-38.645,-71.09111111,"X08301001.0","MaxTmax","�C_decada","Otono",0.743159065628477,0.257787881002501
"148","LIUCURA",-38.645,-71.09111111,"X08301001.0","MaxTmax","�C_decada","Invierno",-1.04299221357063,0.0889856538665433
"149","LIUCURA",-38.645,-71.09111111,"X08301001.0","MaxTmax","�C_decada","Primavera",-1.03537263626251,0.00571511487515059
"150","LIUCURA",-38.645,-71.09111111,"X08301001.0","MaxTmax","�C_decada","Verano",-1.25960591133005,0.235203791443247
"151","LONQUIMAY",-38.45472222,-71.375,"X08304004.1","MaxTmax","�C_decada","Anual",0.276852057842049,0.209376596439101
"152","LONQUIMAY",-38.45472222,-71.375,"X08304004.1","MaxTmax","�C_decada","Otono",-0.0854282536151274,0.957103170274659
"153","LONQUIMAY",-38.45472222,-71.375,"X08304004.1","MaxTmax","�C_decada","Invierno",0.0110456062291436,0.872102608943522
"154","LONQUIMAY",-38.45472222,-71.375,"X08304004.1","MaxTmax","�C_decada","Primavera",-1.0706340378198,0.0652124641616071
"155","LONQUIMAY",-38.45472222,-71.375,"X08304004.1","MaxTmax","�C_decada","Verano",0.758448275862069,0.049975711904489
"156","QUILACO",-37.68527778,-72.00666667,"X08318002.1","MaxTmax","�C_decada","Anual",-1.51501668520579,0.125868253819748
"157","QUILACO",-37.68527778,-72.00666667,"X08318002.1","MaxTmax","�C_decada","Otono",-1.30745272525028,0.0483982231812983
"158","QUILACO",-37.68527778,-72.00666667,"X08318002.1","MaxTmax","�C_decada","Invierno",-2.90088987764182,4.09872359009098e-05
"159","QUILACO",-37.68527778,-72.00666667,"X08318002.1","MaxTmax","�C_decada","Primavera",-1.23604004449389,0.0308606624197781
"160","QUILACO",-37.68527778,-72.00666667,"X08318002.1","MaxTmax","�C_decada","Verano",-1.3256157635468,0.248657656838268
